"customer_id","signup_date","customer_segment","region","acquisition_channel"
"C00001",2024-07-14,"New","North","Ads"
"C00002",2023-11-17,"New","West","Organic"
"C00003",2023-06-02,"Returning","South","Ads"
"C00004",2023-03-15,"New","East","Organic"
"C00005",2023-08-16,"New","North","Organic"
"C00006",2023-05-26,"New","South","Ads"
"C00007",2024-09-25,"Returning","West","Ads"
"C00008",2023-02-18,"Returning","South","Organic"
"C00009",2023-05-08,"New","East","Organic"
"C00010",2023-10-30,"New","East","Organic"
"C00011",2023-01-24,"Loyal","South","Organic"
"C00012",2023-12-22,"Returning","West","Referral"
"C00013",2024-08-23,"New","East","Organic"
"C00014",2023-06-14,"Returning","East","Referral"
"C00015",2024-09-13,"Loyal","South","Organic"
"C00016",2024-06-15,"New","North","Organic"
"C00017",2024-02-14,"New","West","Ads"
"C00018",2023-10-24,"Returning","West","Organic"
"C00019",2024-08-23,"Loyal","South","Referral"
"C00020",2023-10-10,"New","East","Ads"
"C00021",2024-09-12,"Returning","West","Ads"
"C00022",2024-05-31,"New","North","Referral"
"C00023",2023-07-31,"Returning","West","Organic"
"C00024",2023-09-16,"Returning","North","Organic"
"C00025",2023-11-10,"Loyal","West","Organic"
"C00026",2024-04-25,"New","North","Ads"
"C00027",2023-10-25,"New","East","Ads"
"C00028",2023-01-24,"New","East","Referral"
"C00029",2023-06-07,"Returning","South","Organic"
"C00030",2023-10-26,"New","North","Referral"
"C00031",2024-02-10,"New","South","Ads"
"C00032",2023-11-10,"New","West","Organic"
"C00033",2024-10-09,"New","North","Referral"
"C00034",2023-10-19,"New","West","Organic"
"C00035",2023-05-26,"New","East","Ads"
"C00036",2024-09-12,"Returning","North","Organic"
"C00037",2023-12-14,"Returning","East","Ads"
"C00038",2023-07-16,"Returning","South","Organic"
"C00039",2024-05-30,"Returning","West","Ads"
"C00040",2023-08-14,"New","East","Organic"
"C00041",2024-05-18,"New","South","Ads"
"C00042",2023-12-21,"Returning","South","Referral"
"C00043",2024-12-27,"New","West","Referral"
"C00044",2023-09-02,"New","West","Organic"
"C00045",2024-09-17,"New","West","Ads"
"C00046",2023-09-19,"New","South","Referral"
"C00047",2024-01-25,"New","North","Organic"
"C00048",2023-05-10,"Returning","West","Ads"
"C00049",2024-01-07,"Returning","East","Organic"
"C00050",2023-01-03,"New","East","Ads"
"C00051",2024-01-09,"Loyal","South","Referral"
"C00052",2024-02-09,"New","South","Organic"
"C00053",2024-11-28,"Returning","East","Referral"
"C00054",2024-10-11,"Loyal","North","Ads"
"C00055",2023-02-09,"Returning","West","Ads"
"C00056",2024-05-31,"New","North","Ads"
"C00057",2023-02-02,"Returning","North","Ads"
"C00058",2023-04-13,"Returning","North","Organic"
"C00059",2023-08-16,"New","East","Organic"
"C00060",2023-04-19,"New","South","Organic"
"C00061",2023-11-25,"New","South","Referral"
"C00062",2024-10-30,"New","West","Referral"
"C00063",2023-03-17,"Returning","South","Organic"
"C00064",2024-05-05,"New","West","Ads"
"C00065",2024-06-30,"Returning","East","Organic"
"C00066",2023-01-16,"New","North","Ads"
"C00067",2023-12-23,"New","South","Organic"
"C00068",2023-09-05,"Returning","East","Referral"
"C00069",2023-11-21,"Returning","East","Ads"
"C00070",2024-09-21,"Returning","North","Organic"
"C00071",2024-10-03,"Loyal","East","Organic"
"C00072",2023-03-23,"New","West","Ads"
"C00073",2023-11-21,"New","North","Ads"
"C00074",2024-09-13,"Loyal","West","Referral"
"C00075",2023-12-26,"New","South","Organic"
"C00076",2023-10-23,"New","West","Organic"
"C00077",2023-05-29,"Returning","North","Referral"
"C00078",2024-07-22,"Returning","South","Ads"
"C00079",2023-04-10,"Loyal","West","Organic"
"C00080",2023-10-25,"New","West","Ads"
"C00081",2024-02-06,"New","North","Organic"
"C00082",2023-04-01,"Loyal","South","Organic"
"C00083",2023-06-30,"Loyal","South","Organic"
"C00084",2023-02-23,"Returning","North","Organic"
"C00085",2023-10-15,"Returning","East","Organic"
"C00086",2024-12-20,"Loyal","West","Organic"
"C00087",2023-03-01,"Returning","East","Referral"
"C00088",2023-10-12,"New","North","Organic"
"C00089",2024-09-11,"Loyal","West","Organic"
"C00090",2024-01-12,"New","North","Ads"
"C00091",2024-09-29,"New","East","Organic"
"C00092",2024-03-02,"New","North","Organic"
"C00093",2024-03-17,"New","West","Organic"
"C00094",2023-04-22,"New","West","Organic"
"C00095",2024-08-06,"Returning","North","Ads"
"C00096",2023-10-12,"Loyal","East","Ads"
"C00097",2024-05-27,"New","North","Referral"
"C00098",2023-05-21,"New","East","Referral"
"C00099",2024-12-18,"Returning","East","Referral"
"C00100",2023-11-07,"New","West","Organic"
"C00101",2024-04-18,"Returning","North","Organic"
"C00102",2024-07-07,"New","West","Organic"
"C00103",2023-02-11,"New","North","Ads"
"C00104",2023-09-08,"Loyal","North","Ads"
"C00105",2024-03-16,"New","North","Organic"
"C00106",2024-10-30,"New","North","Ads"
"C00107",2023-01-25,"New","West","Ads"
"C00108",2024-12-03,"Loyal","North","Ads"
"C00109",2024-06-27,"New","South","Organic"
"C00110",2023-08-26,"Loyal","North","Ads"
"C00111",2024-06-09,"New","West","Organic"
"C00112",2024-09-14,"New","West","Organic"
"C00113",2023-09-19,"New","West","Organic"
"C00114",2024-05-18,"Returning","West","Ads"
"C00115",2023-10-26,"Returning","East","Ads"
"C00116",2024-03-21,"Returning","West","Ads"
"C00117",2024-12-20,"Returning","East","Ads"
"C00118",2024-01-04,"New","South","Ads"
"C00119",2024-05-26,"New","North","Organic"
"C00120",2024-01-04,"New","West","Ads"
"C00121",2023-08-12,"Returning","South","Ads"
"C00122",2023-08-02,"New","North","Organic"
"C00123",2023-10-21,"New","North","Ads"
"C00124",2024-08-29,"Loyal","East","Ads"
"C00125",2024-06-01,"Loyal","North","Referral"
"C00126",2024-06-29,"Loyal","East","Organic"
"C00127",2024-03-01,"New","West","Organic"
"C00128",2024-04-15,"Loyal","East","Ads"
"C00129",2023-07-07,"New","West","Organic"
"C00130",2023-09-11,"New","West","Organic"
"C00131",2023-09-25,"Returning","North","Ads"
"C00132",2024-10-01,"New","West","Organic"
"C00133",2024-02-14,"New","East","Organic"
"C00134",2023-02-10,"New","West","Ads"
"C00135",2023-07-12,"Returning","South","Ads"
"C00136",2024-07-31,"New","East","Ads"
"C00137",2024-10-25,"New","South","Organic"
